Distance_(pixels),Gray_Value
842,33.6168
843,39.1676
844,40.5104
845,42.0499
846,42.3277
847,41.9322
848,40.8879
849,39.3315
850,34.7834
851,31.7552
852,24.9426
853,21.0960
854,14.3202
855,12.7100
856,10.1893
857,9.2260
858,9.0038
859,8.8729
860,8.9153
861,9.4030
862,10.0508
863,10.8795
864,11.0546
865,10.8089
866,10.6158
867,10.0160
868,9.5659
869,8.9275
870,7.6337
871,6.8606
872,5.4576
873,4.9294
874,4.0546
875,3.5810
876,3.3889
877,3.3286
878,3.3427
879,3.3107
880,3.4322
881,3.7947
882,3.8512
883,4.2994
884,4.2561
885,4.6648
886,4.5301
887,4.7533
888,4.8889
889,4.8983
890,5.6968
891,5.7665
892,6.4821
893,6.2354
894,7.4736
895,7.5725
896,8.6902
897,8.5490
898,9.3098
899,9.0358
900,9.0038
901,9.2806
902,9.0395
903,8.7401
904,8.2599
905,7.5640
906,7.0537
907,6.7439
908,6.6450
909,7.1092
910,7.5443
911,7.8409
912,8.9793
913,9.6158
914,10.9896
915,11.6676
916,13.4840
917,14.3672
918,15.6008
919,16.0951
920,16.5706
921,17.4821
922,17.8889
923,18.8390
924,19.2580
925,20.0669
926,20.3757
927,20.9539
928,21.1394
929,21.4237
930,21.5311
931,21.5829
932,21.6968
933,21.7401
934,21.6375
935,21.5047
936,21.5631
937,21.6365
938,21.6704
939,21.6205
940,21.5725
941,21.5254
942,21.4087
943,21.2712
944,21.1686
945,20.9699
946,20.7655
947,20.4124
948,20.2797
949,19.8936
950,19.6186
951,19.5697
952,19.3098
953,19.1121
954,18.8493
955,18.8079
956,18.4388
957,18.1262
958,17.8616
959,17.8475
960,17.8154
961,17.7420
962,17.8992
963,18.1441
964,18.1535
965,18.4171
966,18.5744
967,18.7900
968,18.8362
969,18.9068
970,18.9068
971,18.9379
972,18.8804
973,18.8324
974,18.5810
975,18.3766
976,17.9510
977,17.8324
978,17.3484
979,16.9718
980,16.6883
981,16.6252
982,16.2985
983,15.9350
984,15.8512
985,15.3079
986,14.9369
987,13.7222
988,12.9209
989,11.1177
990,10.3390
991,9.4379
